	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl	rs           
ffmpeg_toolkit_placeholder	Please upload a file from your local storage	Please upload a file from your local storage	Por favor, sube un archivo desde tu almacenamiento local	Παρακαλούμε μεταφορτώστε ένα αρχείο από τον τοπικό σας χώρο αποθήκευσης	Carica un file dalla tua memoria locale	يرجى تحميل ملف من وحدة التخزين المحلية لديك	Bitte laden Sie eine Datei aus Ihrem lokalen Speicher hoch	ローカルストレージからファイルをアップロードしてください	Kérjük, töltsön fel egy fájlt a helyi tárhelyéről	Por favor, faça o upload de um arquivo do seu armazenamento local	Molimo prenesite datoteku s vaše lokalne pohrane	Prosimo, prenesite datoteko iz vaše lokalne shrambe	Молимо преузмите датотеку из ваше локалне меморије
ffmpeg_toolkit_downloadaudiobutton	Download audio	Télécharger l'audio	Descargar audio	Λήψη ήχου	Scarica audio	تحميل الصوت	Audio herunterladen	オーディオをダウンロード	Audio letöltése	Baixar áudio	Preuzmi audio	Prenesi zvok	Преузми аудио
ffmpeg_toolkit_extractbutton	Extract	Extract	Extraer	Εξαγωγή	Estrai	استخراج	Extrahieren	抽出	Kinyerés	Extrair	Izdvoji	Izvleci	Издвој
ffmpeg_toolkit_label	Please upload a file from your local storage	Veuillez charger un fichier depuis votre espace de stockage local	Por favor, sube un archivo desde tu armazenamento local	Παρακαλούμε μεταφορτώστε ένα αρχείο από τον τοπικό σας χώρο αποθήκευσης	Carica un file dalla tua memoria locale	يرجى تحميل ملف من وحدة التخزين المحلية لديك	Bitte laden Sie eine Datei aus Ihrem lokalen Speicher hoch	ローカルストレージからファイルをアップロードしてください	Kérjük, töltsön fel egy fájlt a helyi tárhelyéről	Por favor, faça o upload de um arquivo do seu armazenamento local	Molimo prenesite datoteku s vaše lokalne pohrane	Prosimo, prenesite datoteko iz vaše lokalne shrambe	Молимо преузмите датотеку из ваше локалне меморије
button_localfile	Local file	Fichier local	Fichero local	Τοπικό αρχείο	Archivio locale	ملف محلي	Lokale Datei	ローカルファイル	Helyi fájl	Arquivo local	Lokalna datoteka	Lokalna datoteka	Локална датотека
ffmpeg_toolkit_downloadvideobutton	Download video	Télécharger la video	Descargar vídeo	Λήψη βίντεο	Scarica video	تحميل الفيديو	Video herunterladen	動画をダウンロード	Videó letöltése	Baixar vídeo	Preuzmi video	Prenesi video	Преузми видео
ffmpeg_toolkit_downloadkeyframesbutton	Download I-frames	Télécharger les images I	Descargar fotogramas I	Λήψη I-frames	Scarica I-frame	تنزيل إطارات I-frame	I-Frames herunterladen	Iフレームをダウンロード	I-képkockák letöltése	Transferir I-frames	Preuzmi I-sličice	Prenesi I-sličice	Preuzmi I-sličice
ffmpeg_toolkit_cut_description	Select the video segment :	Sélectionnez le segment vidéo :	Selecciona el segmento de vídeo :	Επιλέξτε το τμήμα βίντεο :	Seleziona il segmento video :	حدد الجزء الخاص بالفيديو	Videosegment auswählen :	動画のセグメントを選択してください	Válassza ki a videószegmenst :	Selecione o segmento de vídeo :	Odaberite videoisječak :	Izberite video odsek :	Izaberite video isečak :
ffmpeg_toolkit_download_options_title	Download options	Options de téléchargement	Opciones de descarga	Επιλογές λήψης	Opzioni di download	خيارات التنزيل	Download-Optionen	ダウンロードオプション	Letöltési opciók	Opções de transferência	Mogućnosti preuzimanja	Možnosti prenosa	Opcije preuzimanja
ffmpeg_toolkit_download_options_compress	Compress	Compresser	Compresor	Συμπίεση	Comprimi	ضغط	Komprimieren	圧縮	Tömörítés	Comprimir	Sažmi	Stsni	Kompresuj
ffmpeg_toolkit_download_options_scale	Scale down	Réduire l'échelle	Reducir escala	Σμίκρυνση	Riduci scala	تقليل الحجم	Verkleinern	縮小	Lépték csökkentése	Reduzir escala	Smanji	Smanji merilo	Smanji razmeru
ffmpeg_toolkit_download_options_confirm	Confirm	Confirmer	Confirmar	Επιβεβαίωση	Conferma	تأكيد	Bestätigen	確認	Megerősítés	Confirmar	Potvrdi	Potrdi	Potvrdi
